   Nx    Ny   Ngp  nIter nRanks  nThreads      tInit      tCalc      tComm       tTot
 4096  4096     1  81920   2048         0  1.012e-02  7.001e+01  4.416e+01  1.142e+02
 4096  4096     2  40960   2048         0  1.301e-02  1.317e+02  6.408e+01  1.958e+02
 4096  4096     1  81920    512         4  1.371e-02  1.112e+02  5.404e+01  1.653e+02
 4096  4096     4  20480   2048         0  1.879e-02  3.176e+02  6.849e+01  3.861e+02
 4096  4096     2  40960    512         4  1.500e-02  1.292e+02  3.189e+01  1.611e+02
 4096  4096     4  20480    512         4  1.764e-02  1.712e+02  2.355e+01  1.947e+02
 4096  4096     8  10240    512         4  2.314e-02  2.577e+02  1.878e+01  2.765e+02
 4096  4096     8  10240   2048         0  2.988e-02  5.731e+02  6.951e+01  6.427e+02
 4096  4096     4  20480    128        16  4.450e-02  5.008e+02  5.662e+01  5.574e+02
 4096  4096     1  81920    128        16  4.108e-02  6.828e+02  2.045e+02  8.873e+02
 4096  4096     8  10240    128        16  4.910e-02  5.533e+02  3.344e+01  5.868e+02
 4096  4096     2  40960    128        16  4.221e-02  5.385e+02  1.037e+02  6.422e+02
 4096  4096     4  20480     32        64  1.558e-01  1.574e+03  1.974e+02  1.772e+03
 4096  4096     1  81920     32        64  1.524e-01  1.887e+03  7.281e+02  2.615e+03
 4096  4096     8  10240     32        64  1.604e-01  1.606e+03  1.025e+02  1.709e+03
