   Nx    Ny   Ngp  nIter nRanks  nThreads      tInit      tCalc      tComm       tTot
 4096  4096     1  81920   2048         0  1.014e-02  6.999e+01  4.418e+01  1.142e+02
 4096  4096     2  40960   2048         0  1.297e-02  1.317e+02  6.407e+01  1.958e+02
 4096  4096     1  81920    512         4  1.370e-02  1.113e+02  5.403e+01  1.653e+02
 4096  4096     2  40960    512         4  1.498e-02  1.292e+02  3.188e+01  1.611e+02
 4096  4096     1  81920   1024         0  1.413e-02  1.354e+02  1.035e+02  2.389e+02
 4096  4096     1  81920    256         4  2.366e-02  1.998e+02  1.019e+02  3.017e+02
 4096  4096     4  20480    512         4  1.763e-02  1.712e+02  2.351e+01  1.947e+02
 4096  4096     4  20480   2048         0  1.875e-02  3.176e+02  6.849e+01  3.861e+02
 4096  4096     2  40960   1024         0  1.699e-02  2.429e+02  8.059e+01  3.235e+02
 4096  4096     2  40960    256         4  2.501e-02  2.178e+02  5.694e+01  2.748e+02
 4096  4096     8  10240    512         4  2.316e-02  2.577e+02  1.877e+01  2.765e+02
 4096  4096     1  81920    128        16  4.105e-02  6.846e+02  2.027e+02  8.873e+02
 4096  4096     4  20480    256         4  2.781e-02  2.590e+02  3.739e+01  2.964e+02
 4096  4096     4  20480   1024         0  2.282e-02  3.793e+02  7.733e+01  4.567e+02
 4096  4096     8  10240   2048         0  2.999e-02  5.731e+02  6.953e+01  6.427e+02
 4096  4096     1  81920    512         0  2.209e-02  3.009e+02  2.024e+02  5.033e+02
 4096  4096     8  10240    256         4  3.339e-02  3.447e+02  2.395e+01  3.686e+02
 4096  4096     2  40960    128        16  4.223e-02  5.348e+02  1.091e+02  6.439e+02
 4096  4096     1  81920    128         4  4.383e-02  3.772e+02  2.076e+02  5.849e+02
 4096  4096     2  40960    512         0  2.494e-02  3.760e+02  1.248e+02  5.008e+02
 4096  4096     8  10240   1024         0  3.395e-02  6.346e+02  7.423e+01  7.089e+02
 4096  4096     4  20480    128        16  4.451e-02  5.005e+02  5.690e+01  5.574e+02
 4096  4096     1  81920     64        16  7.886e-02  9.978e+02  3.868e+02  1.385e+03
 4096  4096     2  40960    128         4  4.520e-02  3.912e+02  1.101e+02  5.014e+02
 4096  4096     4  20480    512         0  3.082e-02  5.052e+02  9.606e+01  6.013e+02
 4096  4096     1  81920     32        64  1.524e-01  1.887e+03  7.281e+02  2.615e+03
 4096  4096     8  10240    128        16  4.908e-02  5.533e+02  3.345e+01  5.868e+02
 4096  4096     4  20480    128         4  4.787e-02  4.322e+02  6.329e+01  4.955e+02
 4096  4096     2  40960     64        16  7.999e-02  8.732e+02  1.860e+02  1.059e+03
 4096  4096     8  10240    512         0  4.205e-02  7.577e+02  8.204e+01  8.398e+02
 4096  4096     8  10240    128         4  5.341e-02  5.178e+02  3.781e+01  5.557e+02
