   Nx    Ny   Ngp  nIter nRanks  nThreads      tInit      tCalc      tComm     tbatch
32768 32768     1  10129   2048         0  3.457e-05  7.791e-02  4.684e-02  2.510e-03
32768 32768     1  11763    512         4  6.011e-05  7.396e-02  3.516e-02  4.438e-04
32768 32768     1   3137    128        16  8.215e-04  2.740e-01  1.362e-01  4.319e-04
32768 32768     1    789     32        64  1.279e-02  1.083e+00  5.449e-01  4.297e-04
32768 32768     4   2662   2048         0  3.965e-05  1.036e-01  1.437e-02  3.076e-04
32768 32768     4   3535    512         4  5.271e-05  7.992e-02  1.065e-02  5.774e-04
32768 32768     4   1019    128        16  6.418e-04  2.787e-01  3.724e-02  4.127e-04
32768 32768     4    260     32        64  9.769e-03  1.089e+00  1.480e-01  4.125e-04
32768 32768     8   1055   2048         0  6.184e-05  1.383e-01  1.173e-02  2.737e-03
32768 32768     8   1712    512         4  5.795e-05  8.732e-02  6.164e-03  6.800e-04
32768 32768     8    526    128        16  6.307e-04  2.871e-01  1.906e-02  4.137e-04
32768 32768     8    137     32        64  9.307e-03  1.101e+00  7.492e-02  4.136e-04
32768 32768    16    369   2048         0  1.214e-04  2.073e-01  8.631e-03  2.702e-03
32768 32768    16    743    512         4  7.466e-05  1.041e-01  3.703e-03  6.480e-04
32768 32768    16    256    128        16  6.672e-04  3.047e-01  9.919e-03  4.187e-04
32768 32768    16     69     32        64  9.303e-03  1.127e+00  3.842e-02  4.165e-04
