Keep test cases in this document

// --- Test 1 --- //
4/27/16 DS
Results for the solution
u(x,y) = \exp(2 x) \sin(2 y)

   Nx    Ny  ngp  nIter nRanks  nThreads        res        err  ratio  case 
   20    20    1   1833      1         1  9.930e-09  1.239e-03            1 
   40    40    1   7357      1         1  9.944e-09  3.103e-04    4.0     1 
   80    80    1  29448      1         1  9.987e-09  7.767e-05    4.0     1 
  160   160    1 117840      1         1  9.993e-09  1.942e-05    4.0     1 

Results for the forced solution
u(x,y) = \cos(1.3 x) \cos(1.9 y)
   Nx    Ny  ngp  nIter nRanks  nThreads        res        err  ratio  case 
   20    20    1   1694      1         1  9.994e-09  1.147e-04            2 
   40    40    1   6799      1         1  9.955e-09  2.875e-05    4.0     2 
   80    80    1  27215      1         1  9.994e-09  7.193e-06    4.0     2 
  160   160    1 108888      1         1  9.997e-09  1.798e-06    4.0     2 


// --- Test 2 --- //
   Nx    Ny  ngp  nIter nRanks  nThreads        res        err  case      tInit      tCalc      tComm                                                                                                
   80    80    1  33249      8         1  3.733e-11  7.193e-06     2  2.461e-03  2.146e+01  1.078e+02                                                                                                
   80    80    1  32851      4         2  6.830e-11  7.193e-06     2  1.640e-04  4.164e+00  7.113e+00                                                                                                
   80    80    1  32656      2         4  9.970e-11  7.193e-06     2  3.707e-04  2.455e+00  1.643e+00                                                                                                
   80    80    1  32450      1         8  9.931e-11  7.193e-06     2  5.031e-04  1.014e+01  1.765e+00                                                                                                
   80    80    2  16624      8         1  3.733e-11  7.193e-06     2  5.913e-04  1.153e+01  5.515e+01                                                                                                
   80    80    2  16541      4         2  6.394e-11  7.193e-06     2  3.612e-04  2.714e+00  4.005e+00                                                                                                
   80    80    2  16438      2         4  9.895e-11  7.193e-06     2  3.669e-04  1.735e+00  7.520e-01                                                                                                
   80    80    2  16386      1         8  9.942e-11  7.193e-06     2  5.178e-04  3.739e+00  9.167e-01                                                                                                
   80    80    4   8312      8         1  3.614e-11  7.193e-06     2  1.252e-03  6.722e+00  2.803e+01                                                                                                
   80    80    4   8486      4         2  4.797e-11  7.193e-06     2  2.978e-04  2.038e+00  2.063e+00                                                                                                
   80    80    4   8438      2         4  9.769e-11  7.193e-06     2  3.927e-04  1.658e+00  4.092e-01                                                                                                
   80    80    4   8399      1         8  9.992e-11  7.193e-06     2  5.493e-04  2.515e+00  4.708e-01                                                                                                
   80    80    8   4156      8         1  3.609e-11  7.193e-06     2  7.275e-03  4.558e+00  1.424e+01                                                                                                
   80    80    8   4469      4         2  5.254e-11  7.193e-06     2  4.210e-04  2.132e+00  1.305e+00                                                                                                
   80    80    8   4493      2         4  9.966e-11  7.193e-06     2  5.143e-04  2.226e+00  3.069e-01                                                                                                
   80    80    8   4507      1         8  9.874e-11  7.193e-06     2  6.080e-04  3.213e+00  2.499e-01                                                                                                
  160   160    2  66864      8         1  5.143e-11  1.798e-06     2  3.719e-03  5.480e+01  2.272e+02                                                                                                
  160   160    2  66732      4         2  7.263e-11  1.798e-06     2  8.459e-04  2.056e+01  2.254e+01                                                                                                
  160   160    2  66592      2         4  9.938e-11  1.798e-06     2  1.444e-03  2.243e+01  1.009e+01                                                                                                
  160   160    2  66434      1         8  9.959e-11  1.798e-06     2  1.856e-03  3.570e+01  1.426e+01                                                                                                
  160   160    4  33486      8         1  4.503e-11  1.798e-06     2  2.099e-03  3.444e+01  1.145e+02                                                                                                
  160   160    4  33944      4         2  5.915e-11  1.798e-06     2  1.774e-03  1.768e+01  1.259e+01                                                                                                
  160   160    4  33974      2         4  9.794e-11  1.798e-06     2  1.469e-03  2.267e+01  5.763e+00                                                                                                
  160   160    4  33903      1         8  9.983e-11  1.798e-06     2  1.888e-03  3.713e+01  6.928e+00                                                                                                
  160   160    8  16743      8         1  5.225e-11  1.798e-06     2  1.331e-03  2.820e+01  6.021e+01                                                                                                
  160   160    8  17566      4         2  5.278e-11  1.798e-06     2  1.178e-03  1.767e+01  7.998e+00                                                                                                
  160   160    8  17754      2         4  9.882e-11  1.798e-06     2  1.504e-03  2.420e+01  2.771e+00                                                                                                
  160   160    8  17638      1         8  9.895e-11  1.798e-06     2  1.988e-03  3.825e+01  3.600e+00                                                                                                
  160   160   16   8371      8         1  5.225e-11  1.798e-06     2  9.215e-03  2.919e+01  3.760e+01                                                                                                
  160   160   16   9394      4         2  5.171e-11  1.798e-06     2  1.449e-03  2.325e+01  6.228e+00                                                                                                
  160   160   16   9597      2         4  9.795e-11  1.798e-06     2  2.687e-03  3.024e+01  1.563e+00                                                                                                
  160   160   16   9522      1         8  9.802e-11  1.798e-06     2  2.338e-03  4.568e+01  1.946e+00                                                                                                
  320   320    4 141028      8         1  8.735e-11  4.497e-07     2  6.048e-03  2.756e+02  5.439e+02                                                    
